GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,BENEFIT,BENEFIT_S,BENHEA,BENPEB,BENPEC,BENOTH,EMPAVPW,HOURS,PAYANPW,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTRSL,CSTCNT,CSTFU,CSTFU_S,ELECPCH,CSTELEC,CSTELEC_S,ELECGEN,ELECSLD,RCPTOT,RCPTOT_S,RCPTPLM,RCPTRAN,MSCTOT,MSCRSLTT,MSCCNTTT,MSCOTH,VALADD,VALADD_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,INVTOTB,INVFINB,INVWIPB,INVMATB,CEXTOT,CEXTOT_S,CEXBLD,CEXMCH,CEXMCHA,CEXMCHC,CEXMCHO,DPRTOT,DPRTOT_S,RPTOT,RPTOT_S,RPBLD,RPMCH,PCHTT,PCHTT_S,PCHTEMP,PCHCMPQ,PCHEXSO,PCHDAPR,PCHCSVC,PCHRPR,PCHRFUS,PCHADVT,PCHPRTE,PCHTAX,PCHOEXP
0100000US,,United States,,31331M,Textile and fabric finishing mills,,2008,29617,1,947280,270337,2,97579,30521,17386,124852,23542,47169,623164,3167250,1,2622253,134424,111201,192474,1,1598360,106897,2,,,5136989,1,4904028,565803,232961,185386,35868,11706,1928333,2,614750,1,266300,1,102952,3,245497,3,652800,288583,124182,240035,104736,3,8215,96521,2067,6882,87572,165958,2,50963,2,45638,5325,460748,4,20095,2336,900,5330,6113,35812,59954,15605,21492,24440,268672
0100000US,,United States,,31332,Fabric coating mills,,2009,6612,2,318052,94445,3,39376,5059,5839,44171,4695,9291,174979,1347159,2,1193756,96631,12509,22028,6,254069,22235,3,,,1993430,3,,18564,,,,,608988,5,276258,3,114171,5,35298,6,126789,3,353651,143188,39235,171229,27915,8,1453,26462,282,2997,23184,60830,3,25590,5,22251,3339,185851,11,7314,968,960,1380,3663,18548,8116,2369,16488,8317,117728
0100000US,,United States,,31332,Fabric coating mills,,2008,8235,1,390682,114840,1,40726,14422,7795,51897,5868,12174,226182,1587377,1,1448688,56758,20406,33177,3,333322,28346,1,,,2372410,1,2272144,24961,100266,71888,21679,6698,765419,3,351718,2,142586,3,36150,3,172982,2,360144,157074,43617,159453,80792,4,23092,57700,900,4047,52753,61314,4,23736,3,19964,3771,199523,13,8246,1450,618,1382,3640,18871,11161,2129,15230,8392,128404
0100000US,,United States,,313320,Fabric coating mills,,2009,6612,2,318052,94445,3,39376,5059,5839,44171,4695,9291,174979,1347159,2,1193756,96631,12509,22028,6,254069,22235,3,,,1993430,3,,18564,,,,,608988,5,276258,3,114171,5,35298,6,126789,3,353651,143188,39235,171229,27915,8,1453,26462,282,2997,23184,60830,3,25590,5,22251,3339,185851,11,7314,968,960,1380,3663,18548,8116,2369,16488,8317,117728
0100000US,,United States,,313320,Fabric coating mills,,2008,8235,1,390682,114840,1,40726,14422,7795,51897,5868,12174,226182,1587377,1,1448688,56758,20406,33177,3,333322,28346,1,,,2372410,1,2272144,24961,100266,71888,21679,6698,765419,3,351718,2,142586,3,36150,3,172982,2,360144,157074,43617,159453,80792,4,23092,57700,900,4047,52753,61314,4,23736,3,19964,3771,199523,13,8246,1450,618,1382,3640,18871,11161,2129,15230,8392,128404
0100000US,,United States,,314,Textile product mills,,2009,112489,2,3426039,875943,2,367830,27664,52204,428244,86835,165254,2137138,11717831,1,10251537,724539,261752,239771,1,4128763,240232,4,286,,21260932,1,,3257270,,,,,9066178,1,2499875,2,965239,2,401098,4,1133538,2,3242574,1326444,522355,1393774,476249,5,69983,406267,15452,34906,355908,401975,1,277367,6,243639,33728,1429845,4,55872,10149,11502,19502,33244,100379,65994,94424,77334,105012,856435
0100000US,,United States,,314,Textile product mills,,2008,135140,1,4114122,1132697,1,424875,114627,71464,521731,104001,203278,2574779,14704216,1,12707461,1027979,350535,352192,1,4049649,266049,1,,,26836336,1,25113990,4836677,1722346,1517082,144188,61076,12072094,1,3245608,1,1371390,1,515817,1,1358401,1,3243301,1428762,515635,1298903,612370,3,66990,545380,21625,43050,480704,408322,1,288773,1,254590,34182,1672192,4,81166,13014,11768,20352,35735,130485,82140,115216,88863,110111,983341
0100000US,,United States,,3141,Textile furnishings mills,,2009,58566,1,1704757,451273,2,205018,13427,23959,208870,46304,89003,1079696,7128765,1,6438629,194540,153612,203000,1,2671405,138985,8,,,12613585,1,,2602871,,,,,5155939,2,1267278,2,434302,3,231774,2,601203,2,1745051,693924,316975,734152,161487,3,29970,131517,3500,11162,116855,227070,2,111813,2,100450,11364,675159,5,22179,5074,6659,10886,14421,57775,46872,21993,32496,59651,397153
0100000US,,United States,,3141,Textile furnishings mills,,2008,69783,1,2056827,597124,1,238197,59905,41755,257266,54751,109276,1307758,9407607,1,8322669,428271,205434,301059,1,2167018,150175,2,,,16536585,1,15813901,3810339,722684,628895,65882,27906,6977816,2,1779915,1,734287,1,325274,1,720354,1,1921894,848325,334479,739090,254801,4,37918,216883,8406,18903,189574,231950,1,128397,1,112946,15451,700788,5,27309,5044,5298,10100,16576,66097,57008,21041,36116,57957,398243
0100000US,,United States,,31411,Carpet and rug mills,,2009,31676,1,1005693,290680,1,141782,8995,15994,123909,25437,52016,665746,5035019,1,4586024,50272,90913,193069,1,2339007,114740,9,,,8875494,1,8811007,2577036,64488,,,,3548905,2,778961,1,253044,3,181880,2,344037,2,1184636,480408,245773,458454,79843,1,11829,68014,437,6272,61306,189153,1,43641,3,36244,7397,333062,2,7578,2249,3431,8768,7291,38873,37538,8805,19368,40345,158817
0100000US,,United States,,31411,Carpet and rug mills,,2008,37952,1,1229965,397254,1,171548,38210,31974,155522,30733,65044,817703,6818954,1,6163775,119647,130023,283368,1,1753087,122142,2,,,11922612,1,11741438,3779204,181173,162150,6355,12668,5015587,2,1237746,1,513720,1,257491,1,466535,1,1288227,586301,250461,451465,151403,7,17427,133976,1130,11867,120979,191114,2,50145,1,40354,9792,405568,8,8708,2586,3260,7824,9460,43586,43636,11593,21160,38092,215662
0100000US,,United States,,314110,Carpet and rug mills,,2009,31676,1,1005693,290680,1,141782,8995,15994,123909,25437,52016,665746,5035019,1,4586024,50272,90913,193069,1,2339007,114740,9,,,8875494,1,8811007,2577036,64488,,,,3548905,2,778961,1,253044,3,181880,2,344037,2,1184636,480408,245773,458454,79843,1,11829,68014,437,6272,61306,189153,1,43641,3,36244,7397,333062,2,7578,2249,3431,8768,7291,38873,37538,8805,19368,40345,158817
0100000US,,United States,,314110,Carpet and rug mills,,2008,37952,1,1229965,397254,1,171548,38210,31974,155522,30733,65044,817703,6818954,1,6163775,119647,130023,283368,1,1753087,122142,2,,,11922612,1,11741438,3779204,181173,162150,6355,12668,5015587,2,1237746,1,513720,1,257491,1,466535,1,1288227,586301,250461,451465,151403,7,17427,133976,1130,11867,120979,191114,2,50145,1,40354,9792,405568,8,8708,2586,3260,7824,9460,43586,43636,11593,21160,38092,215662
0100000US,,United States,,31412,Curtain and linen mills,,2009,26889,2,699063,160594,4,63236,4432,7965,84960,20867,36987,413951,2093746,4,1852604,144267,62699,9930,28,332397,24244,16,,,3738091,3,,25834,,,,,1607034,4,488317,4,181257,7,49894,8,257166,4,560415,213516,71202,275698,81645,6,18141,63504,3064,4891,55549,37917,7,68172,3,64205,3967,342097,9,14601,2825,3228,2118,7129,18902,9334,13188,13129,19307,238336
0100000US,,United States,,31412,Curtain and linen mills,,2008,31831,1,826862,199870,3,66649,21695,9781,101744,24018,44232,490055,2588653,1,2158894,308624,75410,17691,5,413930,28033,3,,,4613973,1,4072462,31136,541511,466745,59527,15239,1962229,2,542169,2,220567,2,67782,7,253819,2,633667,262024,84019,287625,103398,5,20492,82906,7276,7036,68595,40836,3,78252,2,72593,5659,295220,7,18601,2457,2038,2276,7116,22511,13372,9449,14955,19865,182581
0100000US,,United States,,31412M,Curtain and linen mills,,2009,26889,2,699063,160594,4,63236,4432,7965,84960,20867,36987,413951,2093746,4,1852604,144267,62699,9930,28,332397,24244,16,,,3738091,3,,25834,,,,,1607034,4,488317,4,181257,7,49894,8,257166,4,560415,213516,71202,275698,81645,6,18141,63504,3064,4891,55549,37917,7,68172,3,64205,3967,342097,9,14601,2825,3228,2118,7129,18902,9334,13188,13129,19307,238336
