GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,EMP,EMP_S,PAYANN,BENEFIT,BENEFIT_S,BENHEA,BENPEB,BENPEC,BENOTH,EMPAVPW,HOURS,PAYANPW,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTRSL,CSTCNT,CSTFU,CSTFU_S,ELECPCH,CSTELEC,CSTELEC_S,ELECGEN,ELECSLD,RCPTOT,RCPTOT_S,RCPTPLM,RCPTRAN,MSCTOT,MSCRSLTT,MSCCNTTT,MSCOTH,VALADD,VALADD_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,INVTOTB,INVFINB,INVWIPB,INVMATB,CEXTOT,CEXTOT_S,CEXBLD,CEXMCH,CEXMCHA,CEXMCHC,CEXMCHO,DPRTOT,DPRTOT_S,RPTOT,RPTOT_S,RPBLD,RPMCH,PCHTT,PCHTT_S,PCHTEMP,PCHCMPQ,PCHEXSO,PCHDAPR,PCHCSVC,PCHRPR,PCHRFUS,PCHADVT,PCHPRTE,PCHTAX,PCHOEXP
Geographic identifier code,Id2,Geographic area name,2007 NAICS codes and NAICS-based rollup code,Meaning of 2007 NAICS codes and NAICS-based rollup code,Year,Number of employees,Relative standard error of total number of employees (%),"Annual payroll ($1,000)","Total fringe benefits ($1,000)",Relative standard error of total fringe benefits (%),"Employer's cost for health insurance ($1,000)","Employer's cost for defined benefit pension plans ($1,000)","Employer's cost for defined contribution plans ($1,000)","Employer's cost for other fringe benefits ($1,000)",Production workers avg per year,"Production workers hours (1,000)","Production workers wages ($1,000)","Total cost of materials ($1,000)",Relative standard error of total cost of materials (%),"Materials, parts, containers, packaging, etc. used ($1,000)","Cost of resales ($1,000)","Contract work ($1,000)","Cost of purchased fuels ($1,000)",Relative standard error of cost of purchased fuels (%),"Quantity of electricity purchased for heat and power (1,000 kWh)","Purchased electricity ($1,000)",Relative standard error of purchased electricity (%),"Quantity of generated electricity (1,000 kWh)","Quantity of electricity sold or transferred (1,000 kWh)","Total value of shipments ($1,000)",Relative standard error of total value of shipments (%),"Value of products shipments ($1,000)","Value of interplant transfers ($1,000)","Total miscellaneous receipts ($1,000)","Value of resales ($1,000)","Contract receipts ($1,000)","Other miscellaneous receipts ($1,000)","Value added ($1,000)",Relative standard error of value added (%),"Total inventories, end of year ($1,000)","Relative standard error of total inventories, end of year (%)","Finished goods inventories, end of year ($1,000)","Relative standard error of finished goods inventories, end of year (%)","Work-in-process inventories, end-of-year  ($1,000)","Relative standard error of work-in-process inventories, end of year (%)","Materials and supplies inventories, end of year ($1,000)","Relative standard error of materials and supplies inventories, end of year (%)","Total inventories, beginning of year ($1,000)","Finished goods inventories, beginning of year ($1,000)","Work-in-process inventories, beginning of year ($1,000)","Materials and supplies inventories, beginning of year ($1,000)","Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%),"Capital expenditures on buildings and other structures (new and used) ($1,000)","Capital expenditures on machinery and equipment (new and used) ($1,000)","Capital expenditures on automobiles, trucks, etc. for highway use ($1,000)","Capital expenditures on computers and peripheral data processing equipment ($1,000)","Capital expenditures on all other machinery and equipment ($1,000)","Total depreciation ($1,000)",Relative standard error of total depreciation (%),"Total rental payments ($1,000)",Relative standard error of total rental payments (%),"Rental payments for buildings and other structures ($1,000)","Rental payments for machinery and equipment ($1,000)","Total other expenses ($1,000)",Relative standard error of total other expenses (%),"Temporary staff and leased employee expenses ($1,000)","Expensed computer hardware and other equipment ($1,000)","Expensed purchases of software ($1,000)","Data processing and other purchased computer services ($1,000)","Communication services ($1,000)","Repair and maintenance services of buildings and/or machinery ($1,000)","Refuse removal (including hazardous waste) services ($1,000)","Advertising and promotional services ($1,000)","Purchased professional and technical services ($1,000)","Taxes and license fees ($1,000)","All other expenses ($1,000)"
0100000US,,United States,325188,All other basic inorganic chemical manufacturing,2009,29958,1,2142968,649617,2,264947,36977,67785,279908,17251,34936,1049809,8183959,2,6104250,470107,142378,492381,2,20338427,974844,1,D,D,21237284,4,18118705,D,3118579,D,D,D,12791293,6,2266633,3,980245,5,536891,3,749497,8,2459706,1119830,570124,769752,1404347,2,485066,919281,14843,26311,878127,734304,2,82146,7,37307,44839,2170648,2,262858,14032,18691,11494,18195,268500,187905,5183,108902,117571,1157318
0100000US,,United States,32519M,Other basic organic chemical manufacturing,2009,76720,1,5212801,1665483,1,645028,127534,199528,693393,46080,94211,2845633,57145380,1,49964632,1870871,424641,3605382,1,25069763,1279854,1,15842388,4940394,81844439,1,79195259,6367100,2649180,2034980,D,D,23796146,1,8365857,1,4773043,1,984684,1,2608130,1,9719627,5638819,1073572,3007237,4293162,1,465407,3827755,21790,82745,3723220,4277989,1,333219,1,96017,237202,7609449,1,350677,60808,30437,24776,49416,1244497,2036328,32183,407173,451923,2921230
0100000US,,United States,325211,Plastics material and resin manufacturing,2009,59202,1,3858766,1224960,1,480982,107408,140826,495745,38233,77183,2178732,37680953,1,34420404,673763,232522,1172658,1,21409139,1181606,1,8227759,D,60744217,1,59740180,4626196,1004037,D,D,D,23057280,1,6329620,1,3764591,1,636600,3,1928430,2,6363708,3785359,658576,1919773,1815572,5,147180,1668392,12243,24113,1632036,2405024,1,227481,5,110239,117242,3644571,2,246847,17551,14204,24648,23736,614596,390038,11978,180473,302422,1818080
0100000US,,United States,325212,Synthetic rubber manufacturing,2009,8730,1,651785,192932,1,71594,14701,23926,82711,5448,11157,353763,3735358,1,3139861,281789,19665,194927,1,1460892,99116,1,296685,D,6113126,1,5822316,958453,290810,D,S,D,2390085,2,1054595,1,747514,1,62760,2,244321,1,1079442,748627,59756,271059,209908,3,19555,190353,1135,4102,185117,200311,1,25606,6,9968,15638,583764,5,45684,1603,4645,6562(s),3092,82728,40714,1831,43904,39108,313893
0100000US,,United States,32522M,Artificial and synthetic fibers and filaments manufacturing,2009,13246,1,607154,180464,1,70547,12064,17250,80603,10223,20205,398114,3344224,2,2967412,40529,23522,157186,1,2805708,155575,2,D,D,5254937,2,5198312,1528325,56626,50585,2013,4028,1789136,3,733199,2,370971,6,115691,7,246538,2,873661,444812,160901,267948,367704,2,105864,261841,10154,8532,243155,177916,1,10509,8,6694,3814,364618,5,54981,1632,774,7461,3129,106386,18638,2234,29484,33407,106492
0100000US,,United States,325311,Nitrogenous fertilizer manufacturing,2009,3950,4,289869,77112,1,30947,2946,8389,34831,2667,5596,176825,3100076,1,2525562,61048,64903,278366,1,3203239,170198,1,D,D,7054673,1,6986260,42935,68413,61909,1619(s),4886,3775018,1,524720,1,291943,1,46587,1,186189,3,750487,464298,57240,228950,401522,2,33050,368472,10409,10694,347369,230575,1,14285,9,3928,10357,569291,4,46892,2793,1546,1822,4848,191561,28245(s),1793,60047,40240,189504
0100000US,,United States,325312,Phosphatic fertilizer manufacturing,2009,6065,1,387375,119549,1,51248,6350,16331,45619,4350,10183,256827,5307245,1,4858377,92178,190990,58094,1,1860150,107606,1,D,D,8688260,1,8549755,D,138505,108853,D,D,3012934,1,786766,1,288206,2,157667,1,340893,1,1301276,594099,221817,485361,601448,1,54887,546561,2261,6537,537763,256524,1,27259,1,5314,21945,784477,1,9199,534,1058,1967,1751,69263,3422,822,20126,39207,637130
0100000US,,United States,325314,Fertilizer (mixing only) manufacturing,2009,7358,2,344157,82246,3,29833,1507,6191,44715,4863,10259,175263,3215235,2,2901200,247894,19846,20370,3,340943,25924,2,D,S,5220531,3,4911389,D,309142,285766,D,D,1916647,4,579211,3,366400,3,21765,19,191045,7,721541,439234,32095,250212,253129,15,39220,213910,18868,6212,188829,91274,2,27524,3,11223,16300,393371,6,31517,2941,983,2816(s),5585,41081,10217,6806,10380,15993,265054
0100000US,,United States,325320,Pesticide and other agricultural chemical manufacturing,2009,9422,1,556540,165594,2,67225,9461,16754,72154,5720,11987,300793,4524422,3,4179298,160570,62224,63313,1,1009319,59018,1,S,S,11986793,2,11575425,1893869,411367,262977,D,D,7437817,3,1751035,3,753529,4,362006,2,635500,2,1850272,737378,398719,714175,443353,18,168922,274431,4602,13871(s),255958,200220,2,39965,3,23041,16925,851382,6,96341,1485,2311,1062,7305,57445,48687,10369,43890,37603,544883
0100000US,,United States,325411,Medicinal and botanical manufacturing,2009,26647,1,1945048,584397,1,210199,47752,53200,273246,13425,26761,667670,4068060,1,3626415,83513,112507,110986,1,1713248,134639,1,D,S,10780248,1,10635969,1196840,144279,138545,2737,2997(s),6868675,1,2319269,1,761219,4,1005182,1,552868,3,2153945,783985,835623,534337,690925,2,182593,508333,2339,36430,469564,592847,1,48235,4,40292,7943,908964,8,32046,6549,5733,10388,7180,88530,51318,106986,91122,40949,468163
